"","folio","...1","X","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","a_15plus","POBTOT","P60","hoteles","ingpc2015","est_trs"
"125",5038,64,64,2018,13,2,9,"pub",12,1,0,1,0,1,0,0.5,1,13046,0.133067606929327,0,27443.4519257934,0
"126",5038,1917,63,2020,14,2,7.28,"pub",0,1,1,0,0,1,0,0.5,1,13135,0.138408831366578,0,27443.4519257934,0
"127",6001,65,65,2018,19,4,25,"pub",7,0,3,1,0,1,0.75,0.25,0,27839,0.137181651639786,33,20993.411328062,0
"128",6001,1918,64,2020,22,4,30,"pub",18,3,1,0,0,1,0.75,0.25,0,27626,0.143560414102657,33,20993.411328062,0
"129",6002,66,66,2018,242,35,170,"mixed",109,17,1,4,13,14,0.636363636363636,0.272727272727273,0.227272727272727,155016,0.152035918872891,58,41662.2977068485,0
"130",6002,1919,65,2020,179,27,152.13,"pub",138,18,3,6,0,1,0.555555555555556,0.222222222222222,0.407407407407407,157048,0.160543273394122,58,41662.2977068485,0
"131",6003,67,67,2018,16,4,18,"pub",5,1,1,2,0,1,0.25,0.75,0.75,21504,0.143415178571429,18,27860.9879542881,0
"132",6003,1920,66,2020,16,4,19.68,"pub",10,1,2,1,0,1,0.25,0.5,0.75,21661,0.150177738793223,18,27860.9879542881,0
"133",6004,1921,67,2020,11,3,21,"pub",7,3,0,0,0,1,0.666666666666667,0.333333333333333,0,20837,0.143014829390027,3,25822.584139265,0
"134",6004,68,68,2018,14,2,20,"pub",6,2,0,0,0,1,0.5,0.5,0.5,20545,0.136967632027257,3,25822.584139265,0
"135",6005,1922,68,2020,18,4,27.785,"pub",10,2,2,0,0,1,0.5,0.5,0.5,31267,0.15508363450283,6,28730.880650382,0
"136",6005,69,69,2018,20,5,22,"pub",10,3,0,2,0,1,0.4,0.6,0,30435,0.149827501232134,6,28730.880650382,0
"137",6006,70,70,2018,12,2,5,"pub",8,1,0,1,0,1,0.5,0,0.5,5556,0.156227501799856,0,20770.6925452139,0
"138",6006,1923,69,2020,12,3,6.5,"pub",8,2,1,0,0,1,0,0,1,5623,0.161657478214476,0,20770.6925452139,0
"139",6007,71,71,2018,29,22,224,"mixed",10,12,0,0,10,11,1,0,0,185108,0.0995472913110184,137,40665.7072243346,0
"140",6007,1924,70,2020,230,19,197.94,"pub",190,13,1,3,2,1,0.894736842105263,0.0526315789473684,0.105263157894737,191031,0.105171411969785,137,40665.7072243346,0
"141",6008,72,72,2018,19,4,5,"pub",11,1,1,2,0,1,0.5,0,0.5,9822,0.113927916921197,8,25673.1555814292,1
"142",6008,1925,71,2020,19,5,5.7,"pub",11,2,1,2,0,1,0.2,0.6,0.4,10231,0.115726712931287,8,25673.1555814292,1
"143",6009,1926,72,2020,130,10,190,"pub",125,9,1,0,0,1,0.9,0,0.1,116305,0.11291861914793,38,24580.083918558,0
"144",6009,73,73,2018,97,9,165,"pub",92,9,0,0,0,1,0.888888888888889,0.111111111111111,0,115590,0.107414136170949,38,24580.083918558,0
"145",6010,74,74,2018,178,7,139,"pub",60,5,0,2,0,1,0.857142857142857,0.142857142857143,0.142857142857143,143804,0.0994478595866596,7,44770.5074290967,0
"146",7001,75,75,2018,11,2,16,"pub",0,0,1,1,0,1,1,0,0,17758,0.0982092577993017,0,12456.3322417386,0
"147",7001,1927,73,2020,10,2,15,"pub",0,1,1,0,0,1,1,0,0,17994,0.102200733577859,0,12456.3322417386,0
"148",7002,76,76,2018,24,1,16,"pub",0,1,0,0,0,1,1,0,0,22739,0.108975768503452,0,15011.8810693328,0
"149",7002,1928,74,2020,5,1,20,"pub",0,1,0,0,0,1,1,0,0,21187,0.114409779581819,0,15011.8810693328,0
"150",7003,77,77,2018,16,3,6,"pub",0,0,3,0,0,1,1,0,0,27036,0.119507323568575,3,13828.485338726,0
"151",7003,1929,75,2020,20,3,15,"pub",0,2,0,1,0,1,0,0,1,26899,0.124837354548496,3,13828.485338726,0
"152",7004,78,78,2018,17,2,15,"pub",0,2,0,0,0,1,1,0,0,34905,0.0592751754762928,7,10230.0494585421,0
"153",7004,1930,76,2020,19,2,4,"pub",0,1,0,1,0,1,0,1,0,36160,0.0614767699115044,7,10230.0494585421,0
"154",7005,1931,77,2020,20,2,15,"pub",0,0,2,0,0,1,0,1,0,24512,0.0741677545691906,3,9350.52677835759,0
"155",7005,79,79,2018,20,2,2,"pub",0,0,0,2,0,1,0,0,1,23867,0.0717727406041815,3,9350.52677835759,0
"156",7006,1932,78,2020,17,3,12,"pub",0,2,0,1,0,1,0,1,0.666666666666667,31735,0.105498660784623,0,9309.11769900341,0
"157",7006,80,80,2018,18,3,10,"pub",0,2,0,1,0,1,0,1,0.666666666666667,31299,0.100801942554075,0,9309.11769900341,0
"158",7007,1933,79,2020,8,2,3.5,"pub",0,0,2,0,0,1,0,0,1,11283,0.0748028006735797,0,4713.18382581649,0
"159",7007,81,81,2018,10,2,5,"pub",0,0,0,2,0,1,0,0,1,10776,0.071826280623608,0,4713.18382581649,0
"160",7008,1934,80,2020,8,2,6,"pub",0,2,0,0,0,1,0.5,0.5,0.5,31947,0.0866435033023445,8,9987.67272481589,0
"161",7008,82,82,2018,8,1,18,"pub",0,1,0,0,0,1,1,0,0,30884,0.0832469887320295,8,9987.67272481589,0
"162",7009,1935,81,2020,16,5,30,"pub",0,3,2,0,0,1,0,0.8,0.8,41135,0.1475142822414,34,18777.0264684554,0
"163",7011,83,83,2018,6,1,3,"pub",0,0,0,1,0,1,1,0,0,19985,0.105579184388291,0,7934.99889258029,0
"164",7011,1936,82,2020,9,1,3,"pub",0,0,1,0,0,1,1,0,0,20157,0.110482710720841,0,7934.99889258029,0
"165",7012,84,84,2018,14,3,30,"pub",14,3,0,0,0,1,1,0,0,60339,0.075639304595701,0,19732.2630610158,0
"166",7012,1937,83,2020,50,3,48,"pub",0,3,0,0,0,1,0,1,0,64632,0.0776705037752197,0,19732.2630610158,0
"167",7013,1938,84,2020,10,4,25,"pub",0,0,4,0,0,1,0.5,0.5,0.5,37263,0.0593081609102863,10,13186.6182224707,0
"168",7014,1939,85,2020,16,3,8.5,"pub",0,0,0,3,0,1,0,1,1,24273,0.0550405800683887,0,6172.93288590604,0
"169",7015,86,86,2018,21,4,32,"pub",5,3,1,0,0,1,0,1,0,48851,0.109393871159239,3,12293.8876677528,0
"170",7015,1940,86,2020,25,4,20,"pub",4,4,0,0,0,1,0,1,0.75,50112,0.112807311621967,3,12293.8876677528,0
"171",7016,87,87,2018,5,1,3,"pub",0,1,0,0,0,1,1,0,0,17524,0.147911435745264,4,13474.477561068,0
"172",7016,1941,87,2020,6,1,4,"pub",0,1,0,0,0,1,0,1,0,17619,0.155400420001135,4,13474.477561068,0
"173",7017,88,88,2018,27,5,60,"pub",0,2,0,3,0,1,0.4,0.2,0.4,86106,0.10870322625601,26,16605.6072460865,0
"174",7018,89,89,2018,8,1,1,"pub",0,0,0,1,0,1,0,0,1,9612,0.0950894714939659,4,8315.42710472279,0
"175",7018,1942,88,2020,8,1,4,"pub",0,0,1,0,0,1,0,0,1,9900,0.0987878787878788,4,8315.42710472279,0
"176",7019,90,90,2018,87,14,145,"pub",0,9,1,4,0,1,0.5,0.214285714285714,0.428571428571428,161141,0.0936136675334024,86,19495.7963035666,0
"177",7019,1943,89,2020,97,17,157.5,"pub",0,11,0,5,1,1,0.411764705882353,0.411764705882353,0.235294117647059,166178,0.0972270697685614,86,19495.7963035666,0
"178",7020,1944,90,2020,12,2,15.8,"pub",0,1,1,0,0,1,0,1,0,49920,0.10244391025641,6,9014.57432303281,0
"179",7020,91,91,2018,15,2,15,"pub",0,0,1,1,0,1,0.5,0.5,0,48754,0.0982688599909751,6,9014.57432303281,0
"180",7021,92,92,2018,7,1,8,"pub",0,1,0,0,0,1,0,0,1,21962,0.114925780894272,7,13021.7597529041,0
"181",7021,1945,91,2020,8,2,6,"pub",0,2,0,0,0,1,0,0,1,22192,0.120944484498919,7,13021.7597529041,0
"182",7022,1946,92,2020,8,1,3,"pub",0,0,0,1,0,1,0,0,1,21915,0.039151266255989,0,2650.19067457138,0
"183",7022,93,93,2018,3,1,2,"pub",0,0,0,1,0,1,0,0,1,20339,0.0388908009243326,0,2650.19067457138,0
"184",7023,1947,93,2020,40,2,12,"pub",0,0,2,0,0,1,0.5,0.5,0,101967,0.0652858277678072,0,5540.21223709369,0
"185",7023,94,94,2018,4,3,1,"pub",0,0,0,3,0,1,0,1,0,96965,0.0645903160934358,0,5540.21223709369,0
"186",7024,1948,94,2020,4,1,2,"pub",0,0,1,0,0,1,0,1,1,13678,0.0587805234683433,0,5009.88395904437,0
"187",7024,95,95,2018,3,1,6,"pub",0,0,0,1,0,1,1,0,0,13105,0.0590614269362839,0,5009.88395904437,0
"188",7025,96,96,2018,8,1,6,"pub",0,0,0,1,0,1,0,1,0,7444,0.101289629231596,0,9941.83657587549,0
"189",7025,1949,95,2020,8,1,6,"pub",0,0,1,0,0,1,0,0,1,7472,0.106932548179872,0,9941.83657587549,0
"190",7026,97,97,2018,13,2,2,"pub",0,0,0,2,0,1,0.5,0.5,0,45119,0.0472749839313815,0,4545.31746984664,0
"191",7026,1950,96,2020,15,2,4,"pub",0,1,1,0,0,1,0,0.5,0.5,47371,0.0474551941060987,0,4545.31746984664,0
"192",7027,1951,97,2020,118,5,75,"pub",112,5,0,0,0,1,0.6,0,0.4,112075,0.092893151907205,15,21132.7992386877,0
