"","folio","staff_t","staff_p","base","n_orgs","p_priv","p_base","compact","truck","pickup","o_veh","a_10","a_20","large_v","p_comp","tot_veh","can_ton","bas_sep","sistema","pobtot2018","P60","hoteles","ingpc2015"
"1216","21114",580,580,475,2,1,0.818965517241379,66,11,6,0,0.939759036144578,0.0240963855421687,0.927710843373494,0.795180722891566,83,1442,"No","Casa",1661707,0.119732901167294,254,33583.7313048619
"1217","21115",12,0,0,1,0,0,4,0,0,0,0.5,0.5,1,1,4,8,"No","Casa",55849,0.075668319934108,0,13506.1995006304
"1218","21116",6,0,0,1,0,0,2,0,0,0,0,1,1,1,2,6,"No","Casa",22539,0.0921957495896003,0,8385.8031420327
"1219","21117",6,0,6,1,0,1,1,0,0,0,1,0,1,1,1,10,"No","Casa",15572,0.0896480863087593,5,22118.1721674039
"1220","21118",4,0,0,1,0,0,3,0,0,0,0.333333333333333,0.666666666666667,1,1,3,29,"No","Casa",29129,0.079542723746095,0,13320.3151260504
"1221","21120",3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.2,"No","Casa",5774,0.0874610322133703,0,10708.8858321871
"1222","21122",3,0,0,1,0,0,0,1,0,0,1,0,1,0,1,5,"No","Casa",10738,0.110821382007823,0,15271.8772027042
"1223","21123",3,0,0,1,0,0,0,0,1,0,NA,NA,0,0,1,1,"No","Cont/Casa",3856,0.151192946058091,0,8467.55654101996
"1224","21124",7,0,0,1,0,0,2,0,0,0,0.5,0.5,1,1,2,20,"No","Casa",15654,0.110003832886163,3,14837.5099609776
"1225","21125",3,0,0,1,0,0,1,0,0,0,0,1,1,1,1,5,"Si","Casa",9370,0.119850586979723,0,27615.2185677051
"1226","21126",7,0,0,1,0,0,2,0,0,0,0,0.5,1,1,2,7,"No","Casa",6442,0.0988823346786712,0,11659.0251012146
"1227","21127",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,3,"No","Casa",3641,0.241417193078825,0,11562.6387692308
"1228","21128",2,0,0,1,0,0,1,0,0,0,1,0,1,1,1,7,"No","Casa",9975,0.0923308270676692,0,17446.1086186541
"1229","21129",9,0,0,1,0,0,2,0,0,0,0,1,1,1,2,13,"No","Casa",13755,0.118647764449291,0,10447.1441465357
"1230","21130",3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,"No","Casa",3568,0.174607623318386,0,11249.202112338
"1231","21131",3,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0.714,"No","Casa",952,0.118697478991597,0,9200.84124830394
"1232","21132",67,67,30,1,1,0.447761194029851,9,1,1,0,0.363636363636364,0.636363636363636,0.909090909090909,0.818181818181818,11,130,"No","Casa",152816,0.10352319128887,30,21175.1365538394
"1233","21133",3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.428,"No","Casa",683,0.155197657393851,0,14252.5810055866
"1234","21134",6,0,0,1,0,0,0,2,0,0,0.5,0.5,1,0,2,16,"No","Casa",20638,0.112268630681268,3,15090.9684307198
"1235","21135",3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0.4,"No","Casa",538,0.330855018587361,0,7945.13793103448
"1236","21136",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,5,"No","Casa",12286,0.0921373921536708,0,23197.8705570292
"1237","21137",5,0,0,1,0,0,0,0,2,0,0,0,0,0,2,7,"No","Casa",10209,0.087667744147321,0,12033.6225106
"1238","21139",5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,"No","Casa",3714,0.172859450726979,0,12682.063139173
"1239","21140",48,48,44,1,1,0.916666666666667,8,4,0,2,0.857142857142857,0.142857142857143,0.857142857142857,0.571428571428571,14,85,"No","Otra",134835,0.11075017614121,32,26732.4129305563
"1240","21141",3,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,"No","Casa",3467,0.195269685607153,0,12584.1135135135
"1241","21142",21,0,0,1,0,0,0,0,6,0,0,0,0,0,6,50,"No","Casa",30038,0.100372861042679,7,15434.7092006405
"1242","21143",6,0,0,1,0,0,2,0,0,0,0,0,1,1,2,7,"No","Casa",33587,0.0888736713609432,0,17111.5590472449
"1243","21144",6,0,0,1,0,0,2,0,1,0,1,0,0.666666666666667,0.666666666666667,3,17,"No","Casa",16141,0.0775664456972926,0,16156.667203396
"1244","21145",6,0,0,1,0,0,1,0,0,0,1,0,1,1,1,4,"No","Casa",13262,0.118232544110994,0,6517.25614035088
"1245","21146",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0.15,"No","Casa",778,0.254498714652956,0,9430.17964071856
"1246","21147",14,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,"No","Casa",6264,0.181513409961686,0,10393.7881508079
"1247","21148",4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,3,"No","Cont/Casa",10808,0.0913212435233161,0,14368.9972941631
"1248","21150",8,0,0,1,0,0,1,0,0,0,1,0,1,1,1,2,"No","Casa",6292,0.164335664335664,3,9922.51708262661
"1249","21151",2,0,0,1,0,0,1,0,0,0,1,0,1,1,1,2,"Si","Casa",9056,0.104019434628975,0,14515.6026779615
"1250","21152",3,0,0,1,0,0,1,0,0,0,1,0,1,1,1,3,"No","Casa",12442,0.131329368268767,0,13525.7902411666
"1251","21153",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,7,"No","Casa",22955,0.0996297103027663,0,17447.3874063917
"1252","21154",35,0,0,1,0,0,3,0,0,0,0,1,1,1,3,34,"No","Casa",78931,0.0791830839594076,11,19661.0103074031
"1253","21155",3,0,3,1,0,1,0,1,0,0,0,1,1,0,1,3,"No","Casa",6548,0.1435552840562,0,19271.8047016275
"1254","21156",174,0,0,1,0,0,12,3,0,0,1,0,1,0.8,15,250,"No","Otra",316834,0.091297019890542,74,23706.6516446308
"1255","21157",5,0,0,1,0,0,2,0,0,0,0.5,0.5,1,1,2,4,"No","Casa",12400,0.184274193548387,4,14206.9882565492
"1256","21158",6,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,"No","Casa",6748,0.17886781268524,3,11882.9083333333
"1257","21159",3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0.2,"No","Casa",3872,0.261363636363636,0,6964.37897853442
