"","clave_mun","loc","id","SHPANIO","SREENTIDAD","SRETIPOEST","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","CVE_ZM","servs","tot_servs","mshare","mshare2","hhi","POBTOT","urb","P60","ing_pc","type","staff","staff_ac","staff_otro","grande","chico","metro","centro","noroeste","norte","occidente","spec"
"43",2002,2.02,"2002 13 0042",2020,2,21,2,4,1,5,3,1,1,68,288,552,0.765676567656766,2.02,356,92970,0.382919221254168,0.146627130005898,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",8,0.666666666666667,0.125,0,1,0,0,1,0,0,0
"44",2003,2.03,"2003 3 1118",2020,2,21,2,24,2,6,3,1,1,37,542,114,0.786764705882353,2.03,579,648615,0.0892671307324067,0.0079686206291966,1819.14182880337,108440,0.862818148284766,0.106372187384729,6817.38921984508,"gen",10,0.923076923076923,0.2,0,1,0,0,1,0,0,0
"45",2003,2.03,"2003 5 1103",2020,2,21,0,23,9,7,17,4,2,115,5999,2613,0.607790821771611,2.03,6114,648615,0.942623898614741,0.888539814239653,1819.14182880337,108440,0.862818148284766,0.106372187384729,6817.38921984508,"gen",16,1,0.5625,0,0,0,0,1,0,0,0
"46",2003,2.03,"2003 8 0410",2020,2,21,1,6,6,3,9,3,2,52,1736,867,0.721637426900585,2.03,1788,648615,0.275664300085567,0.0759908063416655,1819.14182880337,108440,0.862818148284766,0.106372187384729,6817.38921984508,"gen",10,0.857142857142857,0.6,0,0,0,0,1,0,0,0
"47",2004,2.03,"2004 78 3836",2020,2,21,4,18,33,56,12,1,2,1262,4630,9843,0.661302256751757,2.03,5892,648615,0.908397123100761,0.825185333257739,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",93,0.818181818181818,0.354838709677419,0,0,0,0,1,0,0,0
"48",2004,2.03,"2004 21 0032",2020,2,26,0,3,3,5,4,1,1,80,90,360,1,2.03,170,648615,0.0262096929611557,0.000686948005118054,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"spec",8,1,0.375,0,1,0,0,1,0,0,1
"49",2004,2.03,"2004 84 3380",2020,2,21,0,159,265,136,48,8,6,1189,16545,27648,0.454072398190045,2.03,17734,648615,2.73413349984197,7.4754859949581,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",401,1,0.660847880299252,1,0,0,0,1,0,0,0
"50",2004,2.03,"2004 156 2927",2020,2,21,0,28,43,42,28,4,3,26,1171,2157,0.532839962997225,2.03,1197,648615,0.184547073379432,0.0340576222929133,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",85,1,0.505882352941176,1,0,0,0,1,0,0,0
"51",2004,2.03,"2004 76 3056",2020,2,21,0,12,1,3,4,1,1,46,900,135,0.895705521472393,2.03,946,648615,0.145849232595608,0.0212719986487276,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",4,1,0.25,0,1,0,0,1,0,0,0
"52",2004,2.03,"2004 33 1543",2020,2,21,0,12,3,4,5,2,1,124,3800,1146,0.677807486631016,2.03,3924,648615,0.604981383409264,0.366002474271787,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",7,1,0.428571428571429,0,1,0,0,1,0,0,0
"53",2004,2.03,"2004 35 0437",2020,2,21,10,5,2,3,4,1,1,24,700,654,0.494623655913978,2.03,724,648615,0.111622457081628,0.0124595729249398,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",15,0.333333333333333,0.133333333333333,0,1,0,0,1,0,0,0
"54",2004,2.03,"2004 139 5809",2020,2,21,0,14,9,5,12,9,3,10,19233,22467,0.600525624178712,2.03,19243,648615,2.96678306853835,8.80180177576581,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",14,1,0.642857142857143,0,0,0,0,1,0,0,0
"55",2004,2.03,"2004 34 0032",2020,2,26,5,39,39,36,5,1,5,1849,1849,4020,0.988059701492537,2.03,3698,648615,0.570137909237375,0.325057235549565,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"spec",80,0.886363636363636,0.4875,0,1,0,0,1,0,0,1
"56",2004,2.03,"2004 36 1312",2020,2,21,8,3,20,28,44,4,2,0,842,20037,0.52819653824679,2.03,842,648615,0.129815067489959,0.0168519517474227,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",56,0.272727272727273,0.357142857142857,1,0,0,0,1,0,0,0
"57",2004,2.03,"2004 31 4069",2020,2,21,1,10,1,3,4,1,1,67,305,1092,0.671942446043165,2.03,372,648615,0.0573529751855877,0.00328936376263864,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",5,0.909090909090909,0.2,0,1,0,0,1,0,0,0
"58",2004,2.03,"2004 212 3357",2020,2,26,0,6,8,3,4,2,2,191,246,591,0.949238578680203,2.03,437,648615,0.0673743283766179,0.00453930012420034,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"spec",11,1,0.727272727272727,0,1,0,0,1,0,0,1
"59",2004,2.03,"2004 48 3357",2020,2,21,0,15,8,5,7,9,2,368,0,2046,0.577372262773723,2.03,368,648615,0.0567362765276782,0.00321900507422517,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",13,1,0.615384615384615,0,0,0,0,1,0,0,0
"60",2004,2.03,"2004 32 0032",2020,2,21,0,21,11,10,7,0,1,374,0,5349,0.534966592427617,2.03,374,648615,0.0576613245145425,0.00332482834477138,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",21,1,0.523809523809524,0,0,0,0,1,0,0,0
"61",2004,2.03,"2004 205 3380",2020,2,21,18,143,132,78,116,3,11,2337,3462,27744,0.611513232300385,2.03,5799,648615,0.894058879304364,0.799341279662975,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",228,0.888198757763975,0.578947368421053,1,0,0,0,1,0,0,0
"62",2004,2.03,"2004 185 3751",2020,2,21,0,7,0,3,3,1,1,7,6001,102,0.672131147540984,2.03,6008,648615,0.926281384180138,0.857997202678672,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",3,1,0,0,1,0,0,1,0,0,0
"63",2004,2.03,"2004 208 0032",2020,2,21,8,13,5,13,6,2,1,124,1099,15537,0.518998951781971,2.03,1223,648615,0.188555614655844,0.035553219818243,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",26,0.619047619047619,0.192307692307692,0,0,0,0,1,0,0,0
"64",2004,2.03,"2004 173 1064",2020,2,21,4,2,10,1,1,0,3,455,0,3453,0.679160419790105,2.03,455,648615,0.0701494723372108,0.00492094846918911,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",15,0.333333333333333,0.666666666666667,0,1,0,0,1,0,0,0
"65",2004,2.03,"2004 88 0441",2020,2,26,2,11,32,9,7,3,3,354,516,1350,0.836492890995261,2.03,870,648615,0.134131958095326,0.0179913821824863,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"spec",43,0.846153846153846,0.744186046511628,0,0,0,0,1,0,0,1
"66",2004,2.03,"2004 211 3130",2020,2,22,0,2,4,4,3,1,1,43,761,132,0.985294117647059,2.03,804,648615,0.123956430239819,0.015365196597799,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"spec",8,1,0.5,0,1,0,0,1,0,0,1
