"","loc","clave_mun","id","SHPANIO","SREENTIDAD","SRETIPOEST","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","servs","tot_servs","hhi","POBTOT","P60","urb","ing_pc","type","staff","staff_ac","staff_otro","grande","chico","metro","centro","noroeste","norte","west","spec"
"85",2.03,2004,"2004 30 0032",2020,2,26,5,0,9,3,2,3,2,100,1543,852,1,1643,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",17,0,0.529411764705882,0,1,0,0,1,0,0,1
"86",2.03,2004,"2004 137 2927",2020,2,21,0,10,5,2,5,4,2,5,16433,885,0.566791510611735,16438,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",7,1,0.714285714285714,0,1,0,0,1,0,0,0
"87",2.03,2004,"2004 45 0032",2020,2,26,10,23,5,10,10,4,1,37,166,465,0.5,203,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",25,0.696969696969697,0.2,0,0,0,0,1,0,0,1
"88",2.03,2004,"2004 187 3380",2020,2,21,0,47,15,51,24,1,5,2538,158,9303,0.554275217100868,2696,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",66,1,0.227272727272727,1,0,0,0,1,0,0,0
"89",2.03,2004,"2004 188 525A",2020,2,21,0,17,6,7,7,4,2,183,7654,2772,0.669336384439359,7837,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",13,1,0.461538461538462,0,0,0,0,1,0,0,0
"90",2.03,2004,"2004 189 2306",2020,2,22,0,4,3,2,2,2,1,0,55,3,0,55,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",5,1,0.6,0,1,0,0,1,0,0,1
"91",2.03,2004,"2004 233 3130",2020,2,21,0,9,3,5,6,1,1,11,103,477,0.828828828828829,114,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",8,1,0.375,0,0,0,0,1,0,0,0
"92",2.03,2004,"2004 230 0032",2020,2,21,0,15,4,5,4,5,1,63,450,393,0.73489932885906,513,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",9,1,0.444444444444444,0,1,0,0,1,0,0,0
"93",2.03,2004,"2004 85 0456",2020,2,26,4,11,19,16,30,3,1,0,98,6663,0.525641025641026,98,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",39,0.733333333333333,0.487179487179487,1,0,0,0,1,0,0,1
"94",2.03,2004,"2004 215 3357",2020,2,21,0,6,2,4,5,2,2,24,667,162,0.48,691,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",6,1,0.333333333333333,0,1,0,0,1,0,0,0
"95",2.03,2004,"2004 3 0051",2020,2,21,5,3,2,6,7,3,1,64,110,513,0.493282149712092,174,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",13,0.375,0.153846153846154,0,0,0,0,1,0,0,0
"96",2.03,2004,"2004 214 3037",2020,2,26,0,3,5,6,3,1,1,15,100,189,0.698412698412698,115,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",11,1,0.454545454545455,0,1,0,0,1,0,0,1
"97",2.03,2004,"2004 195 4069",2020,2,21,0,17,2,9,10,1,1,65,3462,1794,0.698542274052478,3527,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",11,1,0.181818181818182,0,0,0,0,1,0,0,0
"98",2.03,2004,"2004 40 0032",2020,2,21,1,11,4,10,11,1,2,1,84,252,0.561264822134387,85,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",15,0.916666666666667,0.266666666666667,0,0,0,0,1,0,0,0
"99",2.03,2004,"2004 162 0441",2020,2,26,0,3,13,7,10,2,2,68,260,294,0.75,328,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",20,1,0.65,0,0,0,0,1,0,0,1
"100",2.03,2004,"2004 132 2999",2020,2,21,0,9,2,3,4,1,1,27,2032,594,0.497391304347826,2059,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",5,1,0.4,0,1,0,0,1,0,0,0
"101",2.03,2004,"2004 130 3126",2020,2,26,4,0,4,1,5,1,1,0,230,180,0.966666666666667,230,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"spec",9,0,0.444444444444444,0,1,0,0,1,0,0,1
"102",2.03,2004,"2004 202 0032",2020,2,21,0,15,2,3,5,2,1,34,311,219,0.691358024691358,345,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",5,1,0.4,0,1,0,0,1,0,0,0
"103",2.03,2004,"2004 103 1581",2020,2,21,0,14,3,3,4,4,1,70,1934,378,0.675174013921114,2004,648615,1819.14182880337,2157853,0.0904181146723155,0.971710769918062,9893.71251470791,"gen",6,1,0.5,0,1,0,0,1,0,0,0
