"","clave_mun","staff","presupparcial","light","waste","poli","tax","pobtot2018","P60","ingpc2015","salmed","compstaff","pcollege","progtot","capreg","pagemed","pageold","ptemp","party2","party","pct_muj"
"299",13075,188,38649977,1328,9,121,0.0983025472598769,19732,0.0999898641800122,22969.3497239022,133762.35106383,0.223404255319149,0.180851063829787,10,1,0.377659574468085,0.26063829787234,0,"Other","Other",0.409574468085106
"300",13076,1022,214906905,11049,70,3570,0.132972795061747,112871,0.120500394255389,32192.3953764078,119789.640900196,0.169275929549902,0.258317025440313,5,0,0.421722113502935,0.309197651663405,0.0136986301369863,"PRI","PRI",0.338164251207729
"301",13077,1558,262056902,16168,116,27441,0.0918064722180853,165008,0.108473528556191,24225.2225677866,117095.702182285,0.375481386392811,0.210526315789474,19,0,0.438382541720154,0.209242618741977,0.0115532734274711,"PRI","PRI",0.306743421052632
"302",13078,288,106462582,900,2,117,0.0062987728955736,18419,0.141050002714588,7692.51144435675,117063.902777778,0.197916666666667,0.201388888888889,10,0,0.409722222222222,0.0625,0,"PAN","PAN",0.208333333333333
"303",13079,197,39112003,530,5,23,0.00996562548761851,7080,0.200706214689266,14499.9067288474,99417.5939086294,0.203045685279188,0.0913705583756345,0,1,0.345177664974619,0.177664974619289,0.208121827411168,"LEFT","LEFT",0.360406091370558
"304",13081,306,76572569,3101,20,467,0.011620311997322,37013,0.0984248777456569,19835.5979173308,122846.323529412,0.264705882352941,0.212418300653595,12,0,0.336601307189543,0.245098039215686,0.130718954248366,"LEFT","LEFT",0.323529411764706
"305",13083,291,140439140,7143,29,795,0.225124639469104,54151,0.108511384831305,25711.7642272339,140118.642611684,0.264604810996564,0.199312714776632,0,0,0.426116838487972,0.240549828178694,0,"PRI","PRI",0.515463917525773
"306",13084,353,79004584,4200,18,222,0.0367314792069675,39644,0.132706084148925,20661.6191760502,111536.410764873,0.215297450424929,0.308781869688385,13,1,0.390934844192635,0.269121813031161,0.0453257790368272,"PAN","PAN",0.346534653465347
"307",14001,281,66353847,1929,14,1065,0.0937700358933412,22782,0.11368624352559,24854.3448050889,131416.31316726,0.202846975088968,0.106761565836299,10,0,0.373665480427046,0.245551601423488,0.459074733096085,"PAN","PAN",0.211764705882353
"308",14002,175,55846662,1600,20,521,0.122087904395839,24849,0.103625900438649,26765.0780204589,135257.394285714,0.342857142857143,0.217142857142857,3,0,0.445714285714286,0.382857142857143,0,"LEFT","LEFT",0.217391304347826
"309",14003,278,53505180,1854,23,986,0.0821592374450321,23250,0.138150537634409,28560.1196682464,112917.248201439,0.133093525179856,0.143884892086331,5,1,0.571942446043165,0.0935251798561151,0.672661870503597,"PRI","PRI",0.347328244274809
"310",14004,121,22057610,980,5,21,0.0488383482518371,5705,0.151796669588081,20454.459197787,110181.801652893,0.272727272727273,0.223140495867769,9,0,0.355371900826446,0.165289256198347,0,"PRI","PRI",0.418367346938776
"311",14005,252,34910694,1492,11,33,0.0864776848503876,16120,0.102481389578164,21891.1676168757,95124.9166666667,0.21031746031746,0.30952380952381,4,1,0.436507936507937,0.123015873015873,0.531746031746032,"PAN-","PANC",0.353982300884956
"312",14006,620,120073544,3996,85,253,0.0811467489667807,59780,0.153362328537973,26100.1014815449,130509.238709677,0.230645161290323,0.156451612903226,12,1,0.403225806451613,0.279032258064516,0.00161290322580645,"PRI","PRI",0.256410256410256
"313",14007,143,44502284,915,8,182,0.0180355907023653,9328,0.149228130360206,20742.268561562,106152.587412587,0.244755244755245,0.0979020979020979,0,1,0.608391608391608,0.118881118881119,0.461538461538462,"PRI","PRI",0.503496503496504
"314",14008,812,201192325,6200,90,2568,0.113556733619601,79052,0.10289429742448,26434.2772064741,114028.772167488,0.224137931034483,0.24384236453202,18,0,0.45935960591133,0.083743842364532,0.248768472906404,"PRI","PRI",0.443757725587145
"315",14009,312,50864264,1970,26,219,0.173827654115503,20401,0.10077937356012,25458.2439667046,93657.2435897436,0.105769230769231,0.198717948717949,8,1,0.381410256410256,0.275641025641026,0.493589743589744,"PAN","PAN",0.339805825242718
"316",14011,130,30432855,200,0.978,12,0.0519288439388169,5560,0.172661870503597,16456.675560946,92329.0076923077,0.176923076923077,0.2,0,0,0.361538461538462,0.192307692307692,0.353846153846154,"PRI","PRI",0.314516129032258
"317",14012,132,40062744,102,4,113,0.0383388012354878,4163,0.191208263271679,26163.2458670419,108379.287878788,0.196969696969697,0.325757575757576,0,0,0.28030303030303,0.25,0.477272727272727,"LEFT","LEFT",0.291666666666667
"318",14013,654,132261348,5401,65,1065,0.119429049655835,62749,0.116973975680887,25496.4076849023,116450.134556575,0.305810397553517,0.249235474006116,0,0,0.379204892966361,0.334862385321101,0.397553516819572,"PRI","PRI",0.262672811059908
"319",14014,134,33156076,750,7,1000,0.0723802462953986,8604,0.169804741980474,20248.9898734177,114130.365671642,0.194029850746269,0.126865671641791,7,0,0.343283582089552,0.328358208955224,0.850746268656716,"PRI","PRI",0.2421875
"320",14015,897,157847714,5644,90,2735,0.0966802557199876,63455,0.130580726499094,32009.08920334,145710.627647715,0.221850613154961,0.283166109253066,19,0,0.395763656633222,0.250836120401338,0.25752508361204,"PRI","PRI",0.255089820359281
"321",14016,329,122936271,3645,32,108,0.0524866314856664,40899,0.115357343700335,19671.8602175422,113135.495440729,0.297872340425532,0.0729483282674772,5,0,0.343465045592705,0.361702127659574,0.106382978723404,"Other","Other",0.218954248366013
"322",14017,344,58472282,1380,12,250,0.0348178507379703,12840,0.167211838006231,21005.9159511975,59594.0145348837,0.11046511627907,0,0,0,0.369186046511628,0.206395348837209,0.145348837209302,"PAN","PAN",0.171779141104294
"323",14018,396,126008988,3700,65,292,0.0676945414313877,67205,0.133055576222007,23446.7948757764,178059.21969697,0.345959595959596,0.19949494949495,0,0,0.353535353535354,0.202020202020202,0,"PRI","PRI",0.297619047619048
"324",14019,174,12544026,603,5,56,0.00119380378517946,6996,0.0769010863350486,26111.1445214979,24315.6609195402,0.235632183908046,0.126436781609195,0,0,0.316091954022989,0.201149425287356,0.160919540229885,"PRI","PRI",0.452830188679245
"325",14020,217,41503503,1704,6,231,0.0599137455458908,10757,0.148368504229804,24153.1595013991,140786.852534562,0.258064516129032,0.0829493087557604,0,0,0.391705069124424,0.23963133640553,0,"PRI","PRI",0.284263959390863
"326",14021,21,63115347,2179,14,201,0.0430122832060534,20731,0.147846220635763,24141.5808903366,1769520.9047619,2.38095238095238,0.761904761904762,4,0,0.428571428571429,0.19047619047619,0,"PRI","PRI",0.105263157894737
"327",14022,449,102752711,2900,80,216,0.0793295825855634,39916,0.115793165647861,26702.5049749813,149713.971046771,0.0712694877505568,0.138084632516704,0,0,0.33184855233853,0.489977728285078,0.251670378619154,"LEFT","LEFT",0.329621380846325
"328",14023,1208,242457004,8719,140,2462,0.123360856643237,112222,0.12270321327369,32074.5481084171,195853.677152318,0.365066225165563,0.189569536423841,13,1,0.504966887417219,0.218543046357616,0.282284768211921,"LEFT","LEFT",0.551188299817185
"329",14024,427,106968985,3250,27,422,0.0663069121396294,28646,0.157194721776164,23587.9862503581,96139.0866510539,0.182669789227166,0.0374707259953162,0,1,0.613583138173302,0.306791569086651,0.199063231850117,"PRI","PRI",0.228571428571429
"330",14025,294,60426946,1887,18,563,0.059379335341654,19371,0.135356976924268,25430.3524984319,117153.156462585,0.292517006802721,0.292517006802721,0,1,0.537414965986395,0.210884353741497,0.306122448979592,"PAN","PAN",0.157446808510638
