id,docs,staff,beds,op_rooms,id,surgery,consult,days,id,year,pop,income,P60,urb,hhi,special,central,north,west,big,small
2004 161 3357,9,5,3,1,2004 161 3357,6,60,198,2004 161 3357,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 192 0051,3,7,4,1,2004 192 0051,1,39,66,2004 192 0051,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 193 0032,2,1,2,1,2004 193 0032,0,571,3,2004 193 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 52 436A,12,56,29,3,2004 52 436A,35,3178,5667,2004 52 436A,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,1,0
2004 11 0032,19,12,5,1,2004 11 0032,85,27872,492,2004 11 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 223 2931,335,462,8,3,2004 223 2931,651,266538,1824,2004 223 2931,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 67 3535,5,6,5,1,2004 67 3535,47,1450,3339,2004 67 3535,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 12 3056,14,8,4,1,2004 12 3056,38,1440,195,2004 12 3056,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 242 0032,7,22,5,2,2004 242 0032,397,1888,2457,2004 242 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 190 2927,19,13,6,1,2004 190 2927,468,4420,1464,2004 190 2927,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
