CLUES,clave_mun,Año,Clave Estado,Institución,Tipología,¿Cuenta con expediente clínico electrónico?,Total personal médico en formación,Total médicos generales especialistas y odonólogos,Total enfermeras en contacto con el paciente,TOTAL CAMAS AREA HOSPITALIZACIÓN,Quirófanos,egresos,dias,POBTOT,P60,PURB,n,X,ingreso,ing_pc,NIVEL ATENCION,imss,issste,third,a13,a14,a15,a16,a17,a18,a19,a20,a21,Q1,Q4,Q2,Q3,centro,norte,occidente,sur,covid,logpob,loginc,exp_elect,doctors_tot,pct_form
ASSSA000614,1006,2012,1,SSA,M,1,5,70,123,30,2,4156,9643,43022,0.0771930640137604,0.7525219655060201,10,6,163258332,3794.763888243224,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.669466891745744,8.2413774713575,1,75,0.06666666666666667
ASSSA000614,1006,2021,1,SSA,M,1,8,67,178,30,2,2115,6387,48224,0.0959273390842734,0.7407722295952223,10,6,163258332,3385.416639017916,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,10.783612101426222,8.127232261677023,1,75,0.10666666666666667
ASSSA000614,1006,2013,1,SSA,M,1,5,72,127,30,2,4129,10176,43600,0.0794954128440367,0.7510779816513762,10,6,163258332,3744.4571559633023,SEGUNDO NIVEL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.682812429337126,8.228031933766118,1,77,0.06493506493506493
ASSSA000614,1006,2018,1,SSA,M,1,7,70,128,30,2,3146,10728,46490,0.0901484190148419,0.7443966444396645,10,6,163258332,3511.687072488707,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10.74699251468463,8.163851848418615,1,77,0.09090909090909091
ASSSA000614,1006,2015,1,SSA,M,1,7,73,137,30,2,3868,10350,44756,0.08392170882116365,0.7483019036553759,10,6,163258332,3647.7417999821255,SEGUNDO NIVEL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.708980792927612,8.201863570175632,1,80,0.0875
ASSSA000614,1006,2014,1,SSA,M,1,11,72,131,30,2,3916,9973,44178,0.08173751641088324,0.7496717823350989,10,6,163258332,3695.4667934265926,SEGUNDO NIVEL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.695982206596772,8.214862156506474,1,83,0.13253012048192772
ASSSA000614,1006,2016,1,SSA,M,1,16,73,142,30,2,3965,10803,45334,0.086050205144042,0.7469669563682887,10,6,163258332,3601.2337759738825,SEGUNDO NIVEL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.721812581824302,8.189031781278944,1,89,0.1797752808988764
ASSSA000655,1007,2014,1,SSA,M,1,15,65,187,30,3,4040,10003,52443,0.08104036763724425,0.7261216940297085,10,7,178815651,3409.7143756078026,SEGUNDO NIVEL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.867482144479293,8.134383805950604,1,80,0.1875
ASSSA000655,1007,2016,1,SSA,M,1,10,63,188,42,3,3957,8972,54085,0.08482943514837755,0.7317001016917815,10,7,178815651,3306.1967458629933,SEGUNDO NIVEL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10.89831216206439,8.103553788365506,1,73,0.136986301369863
ASSSA000655,1007,2020,1,SSA,M,1,7,68,188,30,2,2168,5809,57369,0.09175687217835415,0.7418989349648765,10,7,178815651,3116.938607959002,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,10.957259366731083,8.044606583698812,1,75,0.09333333333333334
ASSSA000655,1007,2013,1,SSA,M,1,12,62,156,30,3,3613,10257,51622,0.07905544147843943,0.7231994111037929,10,7,178815651,3463.942718220914,SEGUNDO NIVEL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.851703217194657,8.15016273323524,1,74,0.16216216216216217
ASSSA000655,1007,2012,1,SSA,M,1,13,61,151,30,3,3698,12299,50801,0.07700635814255626,0.7201826735694179,10,7,178815651,3519.923840081888,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.835671318412196,8.166194632017701,1,74,0.17567567567567569
ASSSA000655,1007,2019,1,SSA,M,1,7,58,178,30,2,3418,9769,56548,0.09010044563910306,0.739460281530735,10,7,178815651,3162.1923144938814,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10.942845113986923,8.059020836442974,1,65,0.1076923076923077
ASSSA000655,1007,2017,1,SSA,M,1,5,71,186,30,3,3735,8615,54906,0.08663898298910866,0.7343641860634539,10,7,178815651,3256.7597530324556,SEGUNDO NIVEL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10.913377911143433,8.088488039286464,1,76,0.06578947368421052
ASSSA000655,1007,2021,1,SSA,M,1,7,74,192,30,2,2607,6535,58190,0.09336655782780548,0.7442687747035573,10,7,178815651,3072.9618663000515,SEGUNDO NIVEL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,10.971468797650715,8.03039715277918,1,81,0.08641975308641975
ASSSA000655,1007,2015,1,SSA,M,1,6,65,199,30,3,3955,9621,53264,0.08296410333433464,0.7289538900570742,10,7,178815651,3357.1577613397417,SEGUNDO NIVEL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.883015959814806,8.118849990615091,1,71,0.08450704225352113
