"","folio","anyo","staff_t","base","tot_veh","can_ton","compact","truck","pickup","a_10","POBTOT","P60","hoteles","ingpc2015"
"151",7080,2016,8,0,2,2,1,1,0,0.5,34602,0.0782324721114386,8,6703.37506466632
"152",7081,2016,35,0,6,11,0,6,0,0.333333333333333,45095,0.0543075729016521,9,10236.4919774953
"153",7082,2016,26,0,2,2,1,0,1,0.5,14159,0.0490147609294442,0,10386.5172413793
"154",7083,2016,2,0,1,1.05,0,1,0,0,18822,0.0976516841993412,0,9357.01159145586
"155",7084,2016,4,0,1,2.5,1,0,0,1,8085,0.0853432282003711,0,8868.77380230443
"156",7085,2016,5,0,1,2,0,1,0,0,10900,0.0789908256880734,0,11945.9216539717
"157",7086,2016,14,0,2,2.5,1,1,0,0.5,24650,0.0794320486815416,0,16684.7508269019
"158",7087,2016,64,38,4,29,1,3,0,1,39545,0.0842837273991655,19,15010.4486426786
"159",7088,2016,5,0,1,1.2,0,1,0,0,2293,0.0989969472307021,0,11752.556219446
"160",7089,2016,146,16,14,450,14,0,0,1,353697,0.0967409958241093,145,24083.1063398667
"161",7090,2016,5,0,1,1,0,1,0,0,3783,0.109172614327254,3,11432.5849802372
"162",7091,2016,17,0,1,12,0,1,0,0,13030,0.0973906369915579,8,15244.7514763287
"163",7092,2016,5,0,2,9.5,1,0,1,0.5,41357,0.0955823681601664,20,12048.6337175793
"164",7093,2016,18,0,1,6,0,1,0,0,44258,0.0552668444123096,0,4749.75236380009
"165",7094,2016,23,0,4,27,3,1,0,0.25,44289,0.0624760098444309,6,9539.02723759468
"166",7096,2016,74,0,3,8,3,0,0,1,78778,0.0778009088831907,12,11346.1650977552
"167",7097,2016,80,0,9,70,5,1,1,1,90095,0.115833287085854,73,17510.8084565925
"168",7098,2016,7,0,1,1.3,0,1,0,1,7466,0.0732654701312617,0,7447.32487309645
"169",7099,2016,8,0,2,5,2,0,0,0,77747,0.0976500700991678,6,10409.6809897405
"170",7100,2016,13,0,1,9,0,0,0,1,34821,0.0815599781740903,0,6187.12539851222
