"","clave_mun","ingreso"
"1014","20005",37887905
"1015","20006",40881665
"1016","20007",1528928
"1017","20008",4666545
"1018","20009",4254372
"1019","20010",38000803
"1020","20011",696119
"1021","20012",27785638
"1022","20013",6057634
"1023","20014",92471534
"1024","20015",2125026
"1025","20016",57322386
"1026","20017",1694575
"1027","20018",632702
"1028","20019",891418
"1029","20020",5259823
"1030","20021",24628384
"1031","20022",414855
"1032","20023",72641586
"1033","20024",2055963
"1034","20025",28888896
"1035","20026",11635706
"1036","20027",1414080
"1037","20028",54715170
"1038","20029",2073862
"1039","20030",32108283
"1040","20031",24003059
"1041","20032",866780
"1042","20033",10873146
"1043","20034",1247211
"1044","20035",1865814
"1045","20036",3765293
"1046","20037",2605759
"1047","20038",2424446
"1048","20039",257360497
"1049","20040",3023787
"1050","20041",46984113
"1051","20042",16579762
"1052","20043",4008422370
"1053","20044",141355778
"1054","20045",38014960
"1055","20046",3340649
"1056","20047",32090
"1057","20048",540935
"1058","20049",1988521
"1059","20050",3351016
"1060","20051",4890257
"1061","20052",26993339
"1062","20053",2758570
"1063","20054",385211
"1064","20055",5728504
"1065","20056",1195009
"1066","20057",76806859
"1067","20058",4847965
"1068","20059",133756691
"1069","20060",4420367
"1070","20061",2518287
"1071","20062",1050131
"1072","20063",13433334
"1073","20064",12032369
"1074","20065",508559
"1075","20066",8122344
"1076","20067",2088908925
"1077","20068",53548358
"1078","20069",1858088
"1079","20070",7888647
"1080","20071",4810307
"1081","20072",16506190
"1082","20073",66348335
"1083","20074",61180
"1084","20075",4622060
"1085","20076",2785592
"1086","20077",12664167
"1087","20078",3571460
"1088","20079",264103592
"1089","20080",1438973
"1090","20081",2599721
"1091","20082",3669283
"1092","20083",33193520
"1093","20084",15569863
"1094","20085",18431932
"1095","20086",2772341
"1096","20087",15662357
"1097","20088",1152881
"1098","20089",2536483
"1099","20090",8805826
"1100","20091",29126080
"1101","20092",4080762
"1102","20093",395896
"1103","20094",1493677
"1104","20095",5818836
"1105","20096",2540677
"1106","20097",3130201
"1107","20098",4581801
"1108","20099",253138
"1109","20100",302164
"1110","20101",612064
"1111","20102",12185033
"1112","20103",23786517
"1113","20104",2091174
"1114","20105",11295279
"1115","20106",312435
"1116","20107",96260323
"1117","20108",2450936
"1118","20109",1785612
"1119","20110",612848
"1120","20111",2102421
"1121","20112",5662641
"1122","20113",3138032
"1123","20114",503694
"1124","20115",35279811
"1125","20116",1456517
"1126","20117",1962140
"1127","20118",12885840
"1128","20119",781222
"1129","20120",141136
"1130","20121",2479889
"1131","20122",444142
"1132","20123",2301075
"1133","20124",43963850
"1134","20125",67669764
"1135","20126",3308221
"1136","20127",835581
"1137","20128",3611703
"1138","20129",547371
"1139","20130",3706606
"1140","20131",33603015
"1141","20132",3531217
"1142","20133",3646098
"1143","20134",15124829
"1144","20135",19531015
"1145","20136",14819093
"1146","20137",1917764
"1147","20138",1430181
"1148","20139",839362
"1149","20140",859003
"1150","20141",14042945
"1151","20142",318884
"1152","20143",17269108
"1153","20144",3541955
"1154","20145",18009616
"1155","20146",2410560
"1156","20147",195279
"1157","20148",968758
"1158","20149",2588239
"1159","20150",34116290
"1160","20151",72920
"1161","20152",1844925
"1162","20153",8864933
"1163","20154",1660251
"1164","20155",1913345
"1165","20156",7544225
"1166","20157",107246321
"1167","20158",2131821
"1168","20159",6476264
"1169","20160",2092934
"1170","20161",5179035
"1171","20162",3910544
"1172","20163",3438489
"1173","20164",2855959
"1174","20165",1271659
"1175","20166",16638105
"1176","20167",2069717
"1177","20168",1078324
"1178","20169",1582073
"1179","20170",51651452
"1180","20171",11761004
"1181","20172",404663
"1182","20173",3151216
"1183","20174",18851211
"1184","20175",551848
"1185","20176",2913356
"1186","20177",19305435
"1187","20178",23452096
"1188","20179",1008060
"1189","20180",2361574
"1190","20181",481684
"1191","20182",1574109
"1192","20183",1151139
"1193","20184",426558451
"1194","20185",9925308
"1195","20186",491020
"1196","20187",1306930
"1197","20188",5877457
"1198","20189",354491
"1199","20190",33225580
"1200","20191",1464914
"1201","20192",3831288
"1202","20193",6257677
"1203","20194",1141733
"1204","20195",494564
"1205","20196",341862
"1206","20197",6839716
"1207","20198",30505571
"1208","20199",394472
"1209","20200",3324567
"1210","20201",1731057
"1211","20202",9762989
"1212","20203",1270319
"1213","20204",323449
"1214","20205",39140723
"1215","20206",2944242
"1216","20207",19014785
"1217","20208",8960800
"1218","20209",137850
"1219","20210",2909326
"1220","20211",3558260
"1221","20212",561847
"1222","20213",3520164
"1223","20214",4092188
"1224","20215",1014383
"1225","20216",472466
"1226","20217",1264036
"1227","20218",59015
"1228","20219",13733055
"1229","20220",930360
"1230","20221",1727735
"1231","20222",4732259
"1232","20223",254908
"1233","20224",776771
"1234","20225",3078741
"1235","20226",4080256
"1236","20227",57164093
"1237","20228",186178
"1238","20229",1747576
"1239","20230",710309
"1240","20231",954081
"1241","20232",21890467
"1242","20233",8009969
"1243","20234",8887739
"1244","20235",2507006
"1245","20236",684135
"1246","20237",2310834
"1247","20238",1287096
"1248","20239",2980380
"1249","20240",714662
"1250","20241",1056388
"1251","20242",4603490
"1252","20243",4228271
"1253","20244",4008151
"1254","20245",9070300
"1255","20246",428657
"1256","20247",3865805
"1257","20248",19020134
"1258","20249",4128266
"1259","20250",1685074
"1260","20251",549155
"1261","20252",2631121
"1262","20253",1604752
"1263","20254",10399517
"1264","20255",1890184
"1265","20256",320327
"1266","20257",414721
"1267","20258",487712
"1268","20259",3163471
"1269","20260",1321929
"1270","20261",6879095
"1271","20262",850011
"1272","20263",3140908
"1273","20264",972952
"1274","20265",8363161
"1275","20266",20308456
"1276","20267",201168
"1277","20268",3181090
"1278","20269",5869339
"1279","20270",297717
"1280","20271",2761024
"1281","20272",4855472
"1282","20273",3003502
"1283","20274",265432
"1284","20275",3510622
"1285","20276",320703
"1286","20277",31910240
"1287","20278",49391017
"1288","20279",4438361
"1289","20280",26098367
"1290","20281",341992
"1291","20282",368891
"1292","20283",3794219
"1293","20284",2610001
"1294","20285",4308042
"1295","20286",5471637
"1296","20287",279889
"1297","20288",265706
"1298","20289",1198272
"1299","20290",1013755
"1300","20291",2969179
"1301","20292",629181
"1302","20293",89110435
"1303","20294",18449887
"1304","20295",23878129
"1305","20296",809432
"1306","20297",1762577
"1307","20298",33509305
"1308","20299",1835081
"1309","20300",10719694
"1310","20301",4757881
"1311","20302",2019742
"1312","20303",1968363
"1313","20304",398353
"1314","20305",10856812
"1315","20306",4377577
"1316","20307",108676825
"1317","20308",6698051
"1318","20309",7711206
"1319","20310",34916131
"1320","20311",96450
"1321","20312",8088549
"1322","20313",271759
"1323","20314",2373489
"1324","20315",5276770
"1325","20316",1270942
"1326","20317",1119948
"1327","20318",187144762
"1328","20319",392094
"1329","20320",457769
"1330","20321",415407
"1331","20322",313689
"1332","20323",2384326
"1333","20324",109654364
