clave_mun,staff,presupparcial,light,waste,poli,tax,pobtot2018,P60,ingpc2015,salmed,compstaff,pcollege,progtot,capreg,pagemed,pageold,ptemp,Estado,party,pct_muj,rural,semirural,urbsmall,urbmed,indice_marg,Partido,Ali
7059,810,1064923418,8785,70,2943,0.007659609,227501,0.054026136,15308.18947,179984.2012,0.435802469,0.272839506,0,0,0.345679012,0.24691358,0.002469136,7,PRI,0.469168901,0,0,0,1,1.417,PVEM,TRUE
7065,1119,494649250,5019,100,3422,0.020406573,127998,0.076618385,19555.34399,26190.90349,0.107238606,0.064343164,13,0,0.770330652,0.058981233,0,7,PRI,0.415204678,0,0,0,1,0.475,PVEM,TRUE
7071,200,81743336,782,9,173,0.012197663,29819,0.112612764,12042.28884,143310.36,0.235,0.135,0,0,0.395,0.205,0,7,PRI,0.4,0,0,1,0,0.73,PVEM,TRUE
7074,709,97097731,1853,65,252,0.051638744,44007,0.089667553,33572.30034,78104.20874,0.086036671,0.056417489,5,0,0.410437236,0.153737659,0,7,PRI,0.332348597,0,0,1,0,-0.901,PVEM,TRUE
7078,1799,422711925,7500,250,3297,0.083462691,209885,0.072392024,22735.5355,132062.5058,0.163424125,0.23790995,13,0,0.413007226,0.26848249,0.437465258,7,PRI,0.322287199,0,0,0,1,-0.729,PVEM-PNA,TRUE
7086,216,63559898,1062,25,180,0.009413732,24709,0.091990773,16684.75083,63153.00463,0.125,0.328703704,0,1,0.439814815,0.208333333,0,7,PRI,0.189189189,0,0,1,0,0.026,PVEM-PNA,TRUE
7087,365,92478465,2382,28,831,0.009657438,40352,0.084803727,15010.44864,118349.8137,0.084931507,0.117808219,0,0,0.265753425,0.482191781,0,7,PRI,0.495114007,0,0,1,0,0.581,PVEM-PNA,TRUE
7089,3262,887040161,16846,392,7066,0.042693333,347059,0.102826897,24083.10634,119410.3942,0.258736971,0.122624157,0,0,0.395769467,0.400367872,0.085223789,7,PRI,0.325320513,0,0,0,1,-0.577,PRI-PVEM-PNA,TRUE
7101,6591,1319869982,20000,582,62431,0.130828602,593990,0.101249179,33668.76577,156748.5303,0.20179032,0.404035806,0,0,0.487027765,0.289789106,0.115460476,7,PRI,0.309418838,0,0,0,0,-1.29,PRI-PVEM-PNA-PCU,TRUE
7104,104,54470953,700,2,30,0.004797092,16049,0.111346501,11517.52051,84816.65385,0.201923077,0.355769231,0,0,0.240384615,0.105769231,0,7,PRI,0.23255814,0,0,1,0,0.535,PRI,TRUE
7108,710,286653772,2458,90,1918,0.017457538,107354,0.108053729,15984.55667,89549.82676,0.130985915,0.366197183,5,0,0.374647887,0.011267606,0.723943662,7,Other,0.363793103,0,0,0,1,0.205,PMACH,FALSE
7115,72,67837981,33,3,21,0.002089662,14059,0.059463689,10993.71429,124219.6528,0.347222222,0.208333333,0,0,0.388888889,0,0,7,LEFT,0.194444444,0,1,0,0,1.689,PRD,FALSE
8002,271,51930582,2550,17,1673,0.142631308,25294,0.117774966,33170.53179,171219.9483,0.206642066,0.103321033,13,1,0.424354244,0.291512915,0.169741697,8,PAN,0.232472325,0,0,1,0,-1.495,PAN,TRUE
8003,165,31915113,1227,10,800,0.048399476,8473,0.189189189,26441.32994,133348.3333,0.145454545,0.151515152,16,0,0.448484848,0.466666667,0,8,PRI,0.397350993,0,1,0,0,-0.954,PRI-PVEM-PNA,FALSE
8005,175,60448692,2414,24,2529,0.057533926,25671,0.095905886,29621.5128,167055.4686,0.36,0,5,0,0.382857143,0.268571429,0.097142857,8,PRI,0.239263804,0,0,1,0,-0.957,PRI-PVEM-PT-PNA,FALSE
8007,303,79514155,1500,8,86,0.007619449,16688,0.108401246,17874.11232,68644.0165,0.072607261,0.122112211,0,1,0.534653465,0.231023102,0,8,PRI,0.399339934,0,0,1,0,2.369,PRI-PVEM-PT-PNA,FALSE
8009,414,81298438,1603,26,2155,0.014412295,24430,0.111952517,23920.49025,115107.6932,0.084541063,0.084541063,11,1,0.355072464,0.106280193,0,8,LEFT,0.30848329,0,0,1,0,0.838,PMC,FALSE
8011,639,153087654,6002,58,11100,0.085168601,49348,0.130359893,27581.97062,168658.9734,0.167449139,0.133020344,8,1,0.352112676,0.3771518,0.406885759,8,PAN,0.2070626,0,0,1,0,-1.402,PAN,TRUE
8013,146,33436918,1714,26,280,0.05674922,11571,0.139227379,23663.8446,173480.3836,0.226027397,0.061643836,12,0,0.51369863,0.075342466,0,8,PAN,0.221428571,0,1,0,0,-0.969,PAN,TRUE
8015,168,11668134,520,2,401,0.04929278,1321,0.199091597,27750.43336,93789.96429,0.047619048,0.029761905,0,1,0.416666667,0.297619048,0,8,PAN,0.335403727,1,0,0,0,-0.603,PAN,TRUE
8016,88,27770611,991,5,133,0.013031546,3758,0.163650878,22699.80306,139607.9091,0.443181818,0.25,8,0,0.329545455,0.238636364,0,8,PRI,0.420454545,0,1,0,0,-1.007,PRI-PVEM-PT-PNA,FALSE
8017,1080,460804850,20800,165,31569,0.148405618,175439,0.108117351,40610.95595,154071.525,0.462037037,0.251851852,14,0,0.365740741,0.237962963,0.049074074,8,PAN,0.270562771,0,0,0,1,-1.472,PAN,TRUE
8018,68,39302483,1000,0.3,323,0.024660839,5158,0.183792168,24513.89561,177806.7941,0.205882353,0.058823529,2,0,0.441176471,0.205882353,0.044117647,8,PRI,0.176470588,0,1,0,0,-0.706,PRI-PNA,FALSE
8019,4786,2215765637,75058,1230,36540,0.290136445,914047,0.118828682,43007.1867,250491.7595,0.452778939,0.335770999,15,1,0.399916423,0.214375261,0.049728374,8,PAN,0.306564551,0,0,0,0,-1.909,PAN,TRUE
8020,39,51587523,383,4,36,0.021499382,6665,0.11807952,23028.96517,281137.6154,0.333333333,0.333333333,2,0,0.41025641,0.153846154,0,8,PRI,0.179487179,0,1,0,0,0.686,PRI-PVEM-PT-PNA,FALSE
8021,1142,393904877,16468,175,8950,0.135923984,147991,0.121737133,33965.22743,191567.1226,0.331873905,0.189141856,11,0,0.434325744,0.211908932,0.038528897,8,PAN,0.270483712,0,0,0,1,-1.587,PAN,TRUE
8022,59,20745094,950,3,37,0.009815256,2543,0.337396775,20055.22738,210814.322,0.355932203,0.203389831,6,0,0.254237288,0.254237288,0,8,PAN,0.348837209,0,1,0,0,-0.492,PAN,TRUE
8023,71,27093524,649,4,303,0.021264153,6500,0.088153846,22624.39549,197082.4225,0.309859155,0.070422535,7,0,0.492957746,0.028169014,0,8,PRI,0.338028169,0,1,0,0,-0.63,PRI-PVEM-PT-PNA,FALSE
8027,321,173594444,3621,40,50,0.018029919,50081,0.088975859,19874.65156,183019.8131,0.242990654,0.180685358,12,0,0.420560748,0.271028037,0.757009346,8,PRI,0.264797508,0,0,1,0,2.36,PRI-PNA,FALSE
8028,126,28409815,1000,2,0,0.01339037,4682,0.129004699,19985.14742,150954.2937,0.920634921,0.111111111,8,0,0.420634921,0.246031746,0.301587302,8,PRI,0.396396396,0,1,0,0,-0.857,PRI-PVEM-PT-PNA,FALSE
8029,522,214326070,1550,9,210,0.031359509,51115,0.077413675,15120.0727,107522.1015,0.091954023,0.116858238,0,0,0.300766284,0.159003831,0.352490421,8,PRI,0.298850575,0,0,1,0,2.217,PRI-PVEM-PT-PNA,FALSE
8031,272,105153171,3600,35,1088,0.041135366,36306,0.154216934,25875.43479,200900.5331,0.227941176,0,8,1,0.334558824,0.3125,0,8,PRI,0.413385827,0,0,1,0,-0.513,PRI-PVEM-PT-PNA,FALSE
8032,683,308164695,12323,150,9270,0.087679454,114741,0.127426116,31936.94502,241394.2987,0.398243045,0.128843338,0,0,0.376281113,0.380673499,0,8,Other,0.266347687,0,0,0,1,-1.587,C.I.,FALSE
8036,463,97283674,2829,13,2093,0.097787407,40937,0.122822874,24826.40341,189628.6652,0.125269978,0.198704104,0,1,0.399568035,0.278617711,0.177105832,8,PRI,0.217002237,0,0,1,0,-1.37,PRI-PVEM-PT-PNA,FALSE
8037,7469,2786151115,81477,1417,509190,0.254281307,1476387,0.083988819,33291.28552,246270.4477,0.396706386,0.210336056,10,0,0.438880707,0.226670237,0.086490829,8,Other,0.308454035,0,0,0,0,-1.522,C.I.,FALSE
8038,94,27367369,1005,8,310,0.042354128,4977,0.171589311,29321.7916,131058.8298,0.308510638,0.212765957,9,0,0.340425532,0.212765957,0.095744681,8,PAN,0.43373494,0,1,0,0,-0.785,PAN,TRUE
8040,544,106934004,3029,36,244,0.034457193,26035,0.148876512,25009.82885,127893.682,0.152573529,0.075367647,3,0,0.397058824,0.297794118,0.363970588,8,PAN,0.237472767,0,0,1,0,-0.833,PAN,TRUE
8041,223,16735746,75,0.4,30,0.004633315,1425,0.140350877,21487.69191,54237.73543,0.170403587,0.01793722,5,0,0.304932735,0.367713004,0.780269058,8,PRI,0.321266968,1,0,0,0,1.639,PRI,FALSE
8043,76,13366774,776,5,10,0.017007459,2816,0.216264205,23387.18452,160722.1579,0.131578947,0.039473684,1,0,0.407894737,0.276315789,0.881578947,8,PAN,0.194444444,0,1,0,0,-0.649,PAN,TRUE
8045,422,97978076,4600,61,1595,0.088781636,44649,0.1279088,27335.49988,199799.737,0.180094787,0.099526066,0,0,0.521327014,0.127962085,0.116113744,8,PAN,0.289405685,0,0,1,0,-1.24,PAN,TRUE
8049,121,19767668,340,0.9,100,0.015526157,2777,0.171407994,18412.81225,105388.719,0.132231405,0.05785124,7,1,0.239669421,0.041322314,0.082644628,8,PAN,0.45,0,1,0,0,0.096,PAN,TRUE
