"","folio","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","POBTOT","P60","hoteles","ingpc2015"
"2886",20499,2020,2,1,1.4,"pub",0,0,0,1,0,1,0,0,1922,0.173777315296566,3,21380.1868469576
"2887",20500,2020,1,1,1,"pub",0,1,0,0,0,1,1,0,7991,0.176448504567639,0,13240.3571428571
"2888",20505,2020,9,2,4,"pub",0,1,1,0,0,1,0,1,7681,0.200494727249056,0,25283.926119403
"2889",20509,2020,3,1,1.142,"pub",0,0,1,0,0,1,0,0,11384,0.0802002810962755,0,12226.5801928133
"2890",20513,2020,4,2,4.6,"pub",0,0,1,1,0,1,0.5,0.5,9027,0.139359698681733,0,13575.5743061063
"2891",20515,2020,63,5,75,"pub",60,2,3,0,0,1,0.4,0,67739,0.131608083969353,25,22890.2677795564
"2892",20520,2020,5,1,1.1,"pub",0,0,1,0,0,1,0,1,7393,0.172189909373732,0,14713.38996139
"2893",20526,2020,4,1,4,"pub",0,1,0,0,0,1,0,1,16688,0.100671140939597,3,14939.906142167
"2894",20530,2020,1,2,1,"pub",0,0,2,0,0,1,0,1,3923,0.108590364516951,0,12587.6587273374
"2895",20540,2020,5,1,2,"pub",0,0,1,0,0,1,0,0,8326,0.125510449195292,4,22232.2551166111
"2896",20549,2020,3,1,4,"pub",0,1,0,0,0,1,1,0,11465,0.202354993458352,0,12071.8233890215
"2897",20550,2020,4,1,3,"pub",0,0,1,0,0,1,0,1,5764,0.166377515614157,0,19253.4277003484
"2898",20553,2020,7,3,3.95,"pub",0,2,0,1,0,1,0,1,12067,0.123145769453882,0,27178.2373264085
"2899",20554,2020,10,1,2,"pub",0,0,0,1,0,1,0,1,5904,0.145833333333333,0,11376.9504071058
"2900",20557,2020,39,37,8,"pub",36,1,0,0,36,3,1,0,14542,0.173016091321689,0,24731.7710154674
"2901",20560,2020,4,1,3,"pub",0,1,0,0,0,1,0,1,6467,0.188495438379465,3,11330.992843201
"2902",20565,2020,18,8,52.5,"pub",0,7,0,1,0,1,0.75,0.25,46464,0.0941589187327824,0,25309.5821123241
"2903",20570,2020,4,3,14,"pub",0,3,0,0,0,1,0.333333333333333,0.666666666666667,22093,0.138369619336441,4,19606.1532164541
"2904",21001,2020,21,5,50,"pub",0,3,1,1,0,1,0,0,72894,0.0833539111586687,0,15244.5056564767
"2905",21002,2020,2,1,5,"pub",0,0,0,1,0,1,1,0,9170,0.151254089422028,3,14869.8785578748
"2906",21004,2020,19,6,35.109,"pub",0,6,0,0,0,1,0.833333333333333,0.166666666666667,63743,0.0725569866495145,6,14795.0901505108
"2907",21006,2020,3,2,1,"mixed",0,0,1,1,0,3,1,0,14542,0.12659881721909,0,10895.7623424619
"2908",21008,2020,6,1,10,"pub",0,1,0,0,0,1,0,1,11439,0.10927528630125,0,16851.9841950779
"2909",21009,2020,3,1,1.5,"pub",0,0,1,0,0,1,0,1,2207,0.21658359764386,0,11965.2011892963
"2910",21010,2020,13,4,50,"pub",0,4,0,0,0,1,0.25,0.75,74768,0.0731061416648834,3,12629.0714387668
