clave_municipio,INGTRHOG_EXP,NUMPERS_EXP,ingpc2015
20028,17959166,13818,15596.323056882327
20029,1403064,2452,6866.544861337683
20030,20263597,6940,35037.91988472622
20031,4408345,3188,16593.519447929735
20032,234629,249,11307.421686746988
20033,5273056,2387,26508.869710934225
20034,419619,483,10425.316770186335
20035,1110902,453,29427.867549668874
20036,1071089,990,12982.896969696969
20037,1472916,1500,11783.328
20038,1421400,1412,12079.886685552408
20039,134373973,67578,23861.133445795967
20040,1658296,3810,5222.979527559055
20041,22279353,21658,12344.271677901928
20042,7198366,3697,23364.99648363538
20043,172043877,83416,24749.76651961254
20044,50415985,33559,18027.707023451236
20045,17626098,7367,28710.896701506717
20046,1156926,1314,10565.534246575342
20047,24715,17,17445.882352941175
20048,330203,713,5557.413744740534
20049,1133759,866,15710.28637413395
20050,647825,990,7852.424242424242
20051,1683202,2749,7347.55329210622
20052,5010119,3068,19596.29335071708
20053,1702240,871,23452.215843857633
20054,267331,225,14257.653333333332
20055,1936716,1653,14059.644283121597
20056,618921,659,11270.185128983307
20058,3062299,4968,7396.857487922705
20059,47114254,29502,19163.821029082774
20060,543118,497,13113.513078470824
20061,1229304,1238,11915.709208400647
20062,574124,373,18470.477211796246
20063,7418890,3530,25220.022662889518
20064,4975864,4101,14559.953182150697
20065,289069,307,11299.114006514657
20066,4815285,3456,16719.739583333332
20067,679369745,227546,35827.64337760277
20068,28432755,16797,20312.737988926594
20069,1129260,1421,9536.326530612245
20070,4836342,4155,13967.774729241875
20071,2288380,2182,12585.041246562787
20072,6511976,4594,17009.95037004789
20073,45986740,20031,27549.342519095404
20074,33499,56,7178.357142857143
20075,2800274,1869,17979.28731942215
20076,1014335,900,13524.466666666665
20077,6818041,3435,23818.483842794758
20078,1851822,914,24312.76148796499
20079,209976280,74946,33620.411496277324
20080,590132,660,10729.672727272728
20081,536874,650,9911.52
20082,1256248,1416,10646.169491525423
20083,17961338,8411,25625.497087147785
20084,9559680,3436,33386.54249126892
20085,8757072,9569,10981.802069181733
20086,577776,420,16507.885714285716
20087,5351627,3543,18125.747671464862
20088,527365,627,10093.110047846889
20089,1349521,1183,13689.139475908705
20090,6201925,4339,17152.13182761005
20091,17604082,4835,43691.6202688728
20092,1812920,1026,21203.74269005848
20093,219351,238,11059.714285714286
20094,567377,647,10523.221020092735
20095,2098258,2916,8634.80658436214
20096,770190,470,19664.425531914894
20097,715998,861,9979.066202090593
20098,1191347,1832,7803.582969432314
20099,80837,194,5000.226804123711
20100,232120,216,12895.555555555555
20101,265147,347,9169.34870317003
20102,6393337,3694,20768.826204656198
20103,5259368,3734,16902.093197643277
20104,1091403,1188,11024.272727272728
20105,694767,797,10460.732747804266
20106,81172,91,10704
20107,49425559,21432,27673.88521836506
20108,526861,634,9972.132492113564
20109,990036,876,13562.136986301368
20110,188221,212,10654.018867924528
20111,708344,700,12143.039999999999
20112,1141538,917,14938.338058887677
20113,1196787,1294,11098.488408037094
20114,210980,218,11613.577981651375
20115,20105532,7919,30466.77408763733
20116,913829,1450,7562.72275862069
20117,646073,727,10664.203576341128
20118,1072525,1124,11450.444839857651
20119,96673,155,7484.361290322581
20120,159447,158,12109.898734177215
20121,257333,290,10648.262068965516
20122,268318,322,9999.428571428572
20123,1014725,1224,9948.28431372549
20124,21438587,14162,18165.728286965117
20125,2830683,2385,14242.430188679245
20126,1031051,3007,4114.603259062189
20127,253009,420,7228.828571428572
20128,533688,463,13832.086393088552
20129,268849,210,15362.8
20130,2699408,2603,12444.447176334997
20131,6209851,5604,13297.325481798716
20132,1422990,809,21107.391841779976
20133,689487,736,11241.635869565216
20134,11053763,13295,9977.070778488152
20135,9064398,6072,17913.830039525692
20136,3437669,4090,10086.070415647922
20137,521342,522,11984.87356321839
20138,125003,181,8287.491712707182
20139,245127,462,6366.9350649350645
20141,5670537,5889,11554.838512480896
20142,292680,518,6780.23166023166
20143,9391760,7340,15354.376021798365
20144,231400,277,10024.548736462095
20145,8072421,3257,29741.802886091493
20146,1496938,1522,11802.402102496715
20147,141088,151,11212.291390728478
20148,388724,520,8970.553846153845
20149,1159300,1070,13001.495327102803
20150,20539741,10734,22962.259362772496
20151,43408,93,5601.032258064516
20152,262704,414,7614.608695652174
20153,5586522,3927,17071.113827349123
20154,630962,1000,7571.544
20155,359740,374,11542.459893048128
20156,2004398,1718,14000.451688009314
20157,42872134,14333,35893.78413451475
20158,344027,322,12820.881987577639
20159,1254517,1822,8262.46103183315
20160,1350786,1095,14803.134246575342
20161,1223771,1443,10176.889812889813
20162,1589913,1447,13185.180373185902
20163,978250,1034,11352.998065764023
20164,692508,807,10297.516728624534
20165,566319,765,8883.435294117648
20166,11993020,9633,14939.919028340082
20167,5139752,746,82676.97587131367
20168,498440,506,11820.711462450592
20169,825008,1482,6680.226720647774
20170,299463,521,6897.420345489443
20171,4885177,7372,7951.9972870320125
20172,197509,194,12217.051546391753
20173,277581,235,14174.348936170212
20174,7985581,3329,28785.512766596577
20175,388820,654,7134.311926605504
20176,1380379,1205,13746.51286307054
20177,10512627,7277,17335.64985570977
20178,12970013,5789,26885.49939540508
20179,695497,637,13101.984301412875
20180,2051145,1573,15647.641449459632
20181,211969,187,13602.288770053476
20182,326751,439,8931.69020501139
20183,221368,372,7140.903225806453
20184,259432934,134189,23200.077562244296
20185,7256495,4292,20288.429636533085
20186,129475,157,9896.178343949045
20187,445654,585,9141.620512820513
20188,2887147,3906,8869.883256528417
20189,281152,373,9045.10455764075
20190,14652995,11415,15403.936925098555
20191,343802,210,19645.828571428574
20192,2207058,1109,23881.60144274121
20193,3984305,2058,23232.09912536443
20194,1788156,796,26957.125628140704
20195,285259,219,15630.6301369863
20196,167632,142,14166.084507042255
20197,2923704,2095,16746.75322195704
20198,18843804,17679,12790.635669438318
20199,55816,72,9302.666666666666
20200,1434627,1454,11840.112792297112
20201,817233,1267,7740.17048145225
20202,3254866,3179,12286.376848065429
20203,715372,1093,7854.038426349496
20204,183074,190,11562.56842105263
20205,8811077,5774,18311.90232074818
20206,1577135,1370,13814.32116788321
20207,5485362,7527,8745.096851335195
20208,1896028,1814,12542.632855567805
20209,124115,158,9426.455696202533
20210,578280,789,8795.13307984791
20211,1428677,777,22064.509652509652
20212,152998,233,7879.7253218884125
20213,1201333,1266,11387.042654028437
20214,387161,481,9658.902286902287
20215,678912,434,18771.760368663596
20216,356024,623,6857.605136436597
20217,435204,829,6299.6960193003615
20218,17125,51,4029.411764705883
20219,1445812,1404,12357.367521367521
20220,448473,522,10309.724137931034
20221,788306,669,14140.01793721973
20222,428407,514,10001.719844357976
20223,59558,45,15882.133333333335
20224,480771,326,17697.092024539877
20225,2361912,2768,10239.50289017341
20226,1584816,1447,13142.910850034556
20227,33829900,14276,28436.452787895767
20228,128076,330,4657.3090909090915
20229,843879,1394,7264.381635581061
20230,443275,481,11058.83575883576
20231,282092,572,5918.013986013986
20232,8029388,8833,10908.259481489868
20233,929205,1026,10867.894736842105
20234,1554058,2786,6693.717157214644
20235,1050281,1281,9838.697892271663
20236,338744,476,8539.764705882353
20237,1108849,882,15086.380952380954
20238,490919,449,13120.329621380846
20239,752832,651,13877.087557603689
20240,385171,556,8313.043165467625
20241,701098,655,12844.543511450382
20242,801653,1204,7989.897009966777
20243,1941832,1386,16812.39826839827
20244,2229465,2205,12133.142857142857
20245,417564,466,10752.721030042918
20246,122130,205,7149.073170731707
20247,2514351,1291,23371.19442292796
20248,11011406,11738,11257.18793661612
20249,1967839,2290,10311.820087336244
20250,758528,771,11805.88326848249
20251,177702,370,5763.308108108108
20252,738192,1118,7923.348837209303
20253,850730,850,12010.30588235294
20254,2107692,1882,13439.056323060573
20255,318618,552,6926.478260869564
20256,72377,116,7487.275862068966
20257,242204,391,7433.37084398977
20258,239739,264,10897.227272727272
20259,614070,1149,6413.263707571802
20260,1829427,1445,15192.473356401384
20261,1818412,3397,6423.592581689726
20262,453367,438,12421.013698630137
20263,1474723,1495,11837.241471571906
20264,271965,314,10393.566878980891
20265,3061876,3087,11902.336248785228
20266,6651278,4351,18344.136060675708
20267,134401,105,15360.114285714288
20268,981623,792,14873.07575757576
20269,3277674,2332,16866.246998284732
20270,63708,62,12330.58064516129
20271,261048,384,8157.75
20272,2151389,2323,11113.503228583728
20273,515812,663,9335.963800904978
20274,112093,303,4439.3267326732675
20275,1942352,2534,9198.194159431729
20276,54901,69,9548
20277,3562783,3307,12928.151194436045
20278,21029765,22846,11046.011555633371
20279,2424286,1808,16090.393805309734
20280,1380650,1378,12023.076923076922
20281,175939,184,11474.282608695652
20282,196082,340,6920.541176470589
20283,389083,454,10284.13215859031
20284,1315275,1908,8272.169811320755
20285,3141094,2508,15029.157894736843
20286,1554935,1568,11900.012755102041
20287,98626,112,10567.071428571428
20288,219211,422,6233.488151658768
20289,689017,589,14037.697792869269
20290,316295,393,9657.862595419847
20291,1580901,1378,13766.917271407838
20292,173689,411,5071.211678832116
20293,45238570,14598,37187.48047677764
20294,11098785,5692,23398.703443429375
20295,14117311,7736,21898.620992761116
20296,215735,206,12567.087378640777
20297,323611,455,8534.795604395604
20298,14342431,10398,16552.141950375073
20299,288189,414,8353.304347826086
20300,3918730,3235,14536.247295208654
20301,1280239,929,16536.994617868673
20302,1244103,1651,9042.541490006057
20303,678238,720,11303.966666666667
20304,111989,134,10028.86567164179
20305,7405228,3279,27100.559926806953
20306,1164506,1264,11055.43670886076
20307,9043776,7058,15376.213091527345
20308,4670856,2656,21103.265060240963
20309,4740012,5004,11366.93525179856
20310,12986150,7687,20272.38194354104
20311,70767,113,7515.079646017699
20312,4076904,4671,10473.741811175338
20313,107379,218,5910.770642201835
20314,1226203,990,14863.066666666668
20315,820094,770,12780.685714285715
20316,136408,183,8944.786885245901
20317,693913,814,10229.675675675677
20318,91921362,41670,26471.234557235417
20319,246584,303,9765.70297029703
20320,286123,219,15677.972602739726
20321,104396,168,7456.857142857143
20322,188597,316,7161.911392405063
20323,456635,561,9767.5935828877
20324,60197773,36837,19609.99201889405
20325,4120207,4675,10575.932406417112
20326,680851,1124,7268.871886120996
20327,16875476,12246,16536.478196962275
20328,403501,1073,4512.592730661696
20329,144138,264,6551.727272727273
20330,1583336,1706,11137.181711606096
20331,326385,330,11868.545454545454
20332,149030,172,10397.441860465116
20333,3584098,1732,24832.087759815244
20334,51802091,33677,18458.44617988538
20335,221951,234,11382.102564102564
20336,356670,386,11088.186528497408
20337,2778009,2207,15104.715903942004
20338,25038415,9970,30136.507522567703
20339,4042405,2543,19075.446323240267
20340,531037,602,10585.45514950166
20341,154086,141,13113.702127659573
20342,7952842,2823,33805.91710945802
20343,1435936,1063,16210.001881467546
20344,1377301,1288,12831.996894409938
20345,2136157,1525,16809.10426229508
20346,137566,206,8013.553398058252
20347,1407267,1681,10045.92742415229
20348,5250166,3862,16313.307094769549
20349,1956521,1420,16533.98028169014
20350,55957057,16199,41452.23063152046
20351,951895,993,11503.262839879153
20352,240878,802,3604.1596009975065
20353,855290,729,14078.847736625516
20354,236551,367,7734.637602179837
20355,179831,207,10424.985507246378
20356,1593387,1350,14163.439999999999
20357,264358,255,12440.376470588235
20358,801034,778,12355.280205655527
20359,764947,615,14925.795121951218
20360,3112116,2637,14162.075085324232
