"","clave_mun","POBTOT","P_60YMAS","pob_urb"
"1902",26001,2563,470,NA
"1903",26002,91929,8394,91029
"1904",26003,24976,4361,10961
"1905",26004,9492,968,8439
"1906",26005,1177,260,NA
"1907",26006,2788,648,NA
"1908",26007,626,145,NA
"1909",26008,979,254,NA
"1910",26009,759,216,NA
"1911",26010,1221,213,NA
"1912",26011,1475,343,NA
"1913",26012,23151,3398,14976
"1914",26013,1825,299,NA
"1915",26014,3191,686,NA
"1916",26015,1169,230,NA
"1917",26016,4988,812,4837
"1918",26017,89122,9730,72763
"1919",26018,436484,60963,405786
"1920",26019,39451,4753,38113
"1921",26020,4946,661,4483
"1922",26021,1848,415,NA
"1923",26022,863,163,NA
"1924",26023,5829,1149,2934
"1925",26024,753,170,NA
"1926",26025,51431,7067,38886
"1927",26026,61309,8983,31775
"1928",26027,9041,838,7240
"1929",26028,1009,233,NA
"1930",26029,156863,20719,136197
"1931",26030,936263,104402,908665
"1932",26031,1186,226,NA
"1933",26032,888,208,NA
"1934",26033,77682,12907,38963
"1935",26034,943,245,NA
"1936",26035,12536,1628,6924
"1937",26036,33049,3915,30429
"1938",26037,1101,297,NA
"1939",26038,5173,795,4787
"1940",26039,5774,623,5485
"1941",26040,1531,353,NA
"1942",26041,14369,1486,12987
"1943",26042,164387,23328,123594
"1944",26043,264782,21032,261137
"1945",26044,365,101,NA
"1946",26045,2438,539,NA
"1947",26046,496,106,NA
"1948",26047,9122,1240,7889
"1949",26048,62689,5892,62301
"1950",26049,3090,579,NA
"1951",26050,1496,408,NA
"1952",26051,4830,995,2927
"1953",26052,5257,1127,3600
"1954",26053,369,78,NA
"1955",26054,537,74,NA
"1956",26055,199021,22670,187273
"1957",26056,10729,775,9442
"1958",26057,1458,425,NA
"1959",26058,16203,2340,12372
"1960",26059,1835,225,NA
"1961",26060,2058,313,NA
"1962",26061,1368,314,NA
"1963",26062,1114,267,NA
"1964",26063,1178,321,NA
"1965",26064,1381,278,NA
"1966",26065,1473,319,NA
"1967",26066,8548,1987,3619
"1968",26067,1429,321,NA
"1969",26068,1043,299,NA
"1970",26069,4793,819,NA
"1971",26070,13627,1426,11440
"1972",26071,21692,3183,16098
"1973",26072,14279,1997,11126
"1974",27001,58524,7516,19614
"1975",27002,243229,24819,150976
"1976",27003,107731,10694,45351
"1977",27004,683607,78902,565522
"1978",27005,214877,22316,101093
"1979",27006,137257,13951,51113
"1980",27007,32181,4105,26114
"1981",27008,190885,18676,84736
"1982",27009,37749,4816,5001
"1983",27010,91185,9402,47595
"1984",27011,30798,3675,7387
"1985",27012,158601,16725,67582
"1986",27013,150300,12455,102065
